state,votes,winner,sort
CT,7,N,6
DE,3,N,7
ME,4,N,18
MD,10,N,19
MA,11,N,20
NH,4,N,28
NJ,14,N,29
NY,29,N,31
PA,20,B,37
RI,4,N,38
VT,3,N,44
