state,votes,winner,sort
AL,9,B,0
AR,6,B,3
FL,29,B,8
GA,16,B,9
KY,8,B,16
LA,8,B,17
MS,6,B,23
MO,11,B,24
NC,15,B,32
OK,7,B,35
SC,9,B,39
TN,11,B,41
TX,38,B,42
VA,13,N,45
WV,5,B,47
