state,votes,winner,sort
IL,20,N,12
IN,11,B,13
IA,6,B,14
KS,6,B,15
MI,16,B,21
MN,10,N,22
MO,11,B,24
NE,5,B,26
ND,3,B,33
OH,18,B,34
SD,3,B,40
WV,5,B,47
WI,10,B,48
